vjedr#	水桶
vje%ljvna	有礼貌的
vjenjk	扫帚
ankjeta	登记表,履历表(源自法语enquiry)
ataka	冲锋,进攻(attack)
atljetjka	竞技运动(athletic)
at@m	原子(atom)
attjestat	(中学)毕业证书
aerodrom	飞机场(aerodrome)
aeroport	航空港,航空站(airport)
basnja	寓言(源于古俄语)
ba$nja	塔楼(源于波兰语)
bditjel'na	警惕的(бдительный)
-@st	形容词变成的名词性质后缀（-ance）
bditjeln@st	警惕性
bjel'j#	内衣(бельё)
bjenzjn	汽油(benzine)
bjerj#za	白桦树(берёза)
-jm	第一人称动词后缀
b#drina	精力充沛的(бодрый)
b#j	战斗(бой)
b#k	肋部,侧面(бок词源同back)
boks	拳击(boxing)
b@l'$evjk	布尔什维克(большевик)
bomba	炸弹 bomb
b@rjets	(为某项事业而斗争的)斗士
b#rt	船舷
b@rba	斗争
b@s#na	赤脚的(басой)
brak	废品,瑕疵
brjevn#	原木
brjgada	突击队(brigade)旅
buljon	高汤(bouillon)
bur%uazja	布尔乔亚,资产阶级(bourgeoisie)
burna	汹涌的,猛烈的(бурный)
burja	暴风雨,风暴(буря)
val's	圆舞曲,华尔兹(walts)
varjen'e	果酱,蜜饯
varjona	煮的,炖的,熬的
jasim	休息 休(やす)む
deptjer	本子
deris	课,讲座,演讲,论坛 lecture,discourse
kitap	书
kitaphana	书店
lughet	词典
+j$jo	词典
mektep	学校
san	数字
s@n@p	班
sja	墨水
talaba	大学生
aq	白色(阿克)
kyek	蓝色
q@z@l	红色(克孜勒)
rang	颜色
aka	哥哥
ajle	家
je	家　いえ
ana	妈妈
ata	给　与(あた)える
ekje	父亲
shjeshje	姐姐
ane	姐姐　姉(あね)
yj	麻木
ang@z	传说
a$	打开
@d@s	器皿
engimje	故事
@s	烟
cjragh	灯
dykjen	商店
%jebje	箭,使奔向，使急奔
%ol	路
habar	新闻
hat	信
kot	事情　事(こと)
kema	船
kyezejnek	眼镜
bazar	市场
yeljeng	歌
ita	歌(うた)
makale	作文
qaghaz	纸
kamj	纸　紙(かみ)
qalam	笔
qaranda$	铅笔
$apan	大衣
tamaqa	香烟
adam	人类
aju	熊
ajuan	动物
alma	苹果(阿拉木图)
at	马
bajku$	猫头鹰
bala	孩子
bas	压
bjel	腰
ch#$qa	猪
bita	猪 豚(ぶた)
ejel	女人
gyl	花
%@lan	蛇
mjr	世界
arjest	偷盗(arrest)
-na	名词、动词或词干的形容词化后缀
bljest	发光(блестеть/блеснуть) + …le 以…闪亮
b#lt	闲扯,乱说(болтать)
bri	刮,剃(брить)
varj	煮(варить)
%yrjek	心脏
jerkjek	男人
jet	肉 et 
jt	狗🐶
kisi	人
hit	人　ひと
hacj	蜂 はち пчела
kyez	眼睛
ku$	鸟
pil	大象
cj	地,地表,地面　ち
te	手　て
qoz@	羊羔
syez	word,单词,字
ajt	说,讲述,提到talk
al	拿
anlo	理解 n.
likaj	理解りかい
apar	拿去
baj@	变富
bar	去
bjer	给
bol	是
olinga	天
b&l	分开
dje	说say
djemal	休息
kaz	风 風(かぜ)
t#ng	冻
ekjel	拿来
%asa	活
%at	躺
%az	夏天 土：yaz
%je	吃
%u	洗
%yr	走
i$	喝 iç
jesti	听见 hear
kir	进入，土: gir
kj	穿
kjel	来
kjet	离开
kyer	看见see 土：gör
kyj	燃烧
kyt	等
osta	抓
yel	死
yet	经过
#jmala	雕
#jla	想 思考 think
#jna	玩
#k@	读,学
#k@t	教
#t@r	坐
kael	返回 帰(かえ)る
q@l	做
q#j	放
sat	买
syj	爱
ai	爱 あい
$@gh	出版
unut	忘记
yr	吠叫
erjnje	当然
ham	也
moq	也 も
hazir	现在
jmaq	现在 今(いま)
njetame	为什么
nje$je	多少,几个
kajda	在哪
kalaj	怎样
ka$an	何时
s#laj	这样
jana	又一次 again yine
axita	明日(あした)
bi@l	今年
bor@n	从前
bukyn	今天
%ej	只
asana	简单
azna	少
bajna	富的
eng	最
erna	每一个
esjemna	漂亮的
gyzel	漂亮
jestina	旧的
%ana	新的
jojna	好的
%asna	年轻的
jaki$iklina	帅,英俊的
jegdjena	年长的
kerina	老,古老的
sjkna	有病的
kyepna	许多
mosmosna	软囊囊的
mutluna	高兴的
-rakna	更
sauna	健康的
sami	冷,寒冷,冷气 寒(さむ)さ
uzuna	长
katana	大
anau	那个
kim	谁
nje	什么
yez	自己
u	她他它,那
aj	月亮
altin	黄金(阿尔泰)
asman	天,天空
aua	空气
dengiz	大海
imj	海(うみ)
dynja	世界
mjlaj	未来 みらい
eljem	宇宙
gauhar	宝石
%jer	大地，地球
julduz	星星
hoxj	星(ほし)
kyel	湖
kyektjen	春天
hali	春(はる)
kyl	灰
haj	灰(はい)
muz	冰
#rman	森林 土：orman
mori	森(もり)
#t	火
su	水
tabjet	自然
tas	石头
tau	山(塔格)
tjemir	铁(帖木儿)
yn	声音
hafta	星期
kyn	白天,太阳
doj	天day
hj	日(ひ) 仅指太阳 不可指日期
saghat	钟表
tang	早上
tyn	夜
ekim	市长
d#s	朋友
ghal@m	科学家
kadir	干部 кадры
qaharman	英雄
q#%aj@n	主人
h#st	主人
ve	和
tagh@	依然
alla	安拉,真主,胡大
asas	基础
baht	幸福
eurje	麻烦
%al@q	人民
%an	生命
%as	年龄
ymit	hope希望
jes	记忆
kyne	罪
muhabbat	爱情
oj	思想,idea
tarjh	历史 土：tarih
tengri	上帝,腾格里
zaman	时代
zang	法律
tenenja	东方
cjenja	西方
tontasja	南方
soghuknja	北方
cjkasu	雪
tasteno	台阶
#rmanka	树
gylko	种子
kamjna	片状的
$a	叶子
cjkada	鞋子
cjka	粉
cjkade	踩
rj	河
fu	衣服
cjef	裤子
mjlet 	民族
cjraghlong	灯笼
sjenka	绳子
tascj	地板
muzebj	棍子,棒子
#jmalao	雕像
kyek@z@l 	紫色
